"crl.tot","dollar","bang","money","n000","make","yesno"
10,0,0,0,0,0,"n"
904,0.013,0,0,0,0,"n"
30,0,0,0,0,0,"n"
267,0,0.02,0,0,0.38,"n"
122,0,0,0,0,0,"n"
134,0,0.054,0,0,0,"n"
517,0,0,0,0,0,"n"
114,0.124,0.124,0,0,0,"y"
5,0,0,0,0,0,"n"
425,0.016,0,0.12,0.12,0.24,"n"
16,0,0.544,0,0,0,"y"
373,0,0.487,0,0,0,"y"
535,0.034,0,0,0,0.12,"n"
461,0,0,0,0,0,"n"
56,0,0.286,0,0,0,"n"
188,0,0,0,0,0,"n"
186,0,1.36,0,0,0,"y"
24,0,0,0,0,0,"n"
21,0,0,0,0,0,"n"
325,0.896,0.482,0.44,0.44,0,"y"
86,0,0,0,0,0,"n"
2205,0.338,0.831,0.4,0,0.2,"y"
183,0.067,0.067,0,0,0.22,"y"
979,0.261,0.358,0.34,0.08,0,"y"
9,0,0,0,0,0,"n"
1621,0.141,0.343,0.76,0.29,0.4,"y"
34,0,0,0,0,0,"n"
10,0.724,0,0,0,0,"n"
1180,0.059,1.008,0,0,0.38,"y"
73,0,0.09,0,0,0,"n"
23,0,0,0,0,0,"n"
118,0,0.061,0,0,0.75,"n"
143,0.157,0,0.32,0,0,"y"
147,0,0.138,0,0,0.48,"n"
116,0,0.174,0,0.33,0,"n"
92,0,0,0,0,0,"n"
81,0,0.27,0,0,0,"y"
261,0,0.786,0,0,0,"y"
121,0,0.291,0,0,0.32,"n"
1342,0.106,0.287,0.19,0.52,0.06,"y"
11,0,0,0,0,0,"n"
6,0,0,0,0,0,"n"
359,0.029,0.234,0.53,0,0.71,"y"
322,0,0,0,0,0,"n"
640,0.674,0.179,0,0,0,"y"
28,0,0,0,0,0,"n"
7,0,0,0,0,0,"n"
1351,0.158,0.49,0.1,0.6,0.1,"y"
1412,0.118,0.408,0.08,0.85,0.08,"y"
7,0,1.315,0,0,0,"n"
67,0,0.217,0,0,0,"n"
179,0,0,0,0,0,"n"
2340,0.509,0.478,0.58,0.51,0.51,"y"
144,0,0,0,0,0.27,"y"
21,0,0,0,0,0,"n"
472,0,0.018,0,0,0,"n"
204,0,0,0,0,0,"n"
385,0,0.479,0,0,0,"y"
192,0,0,0,0,0,"n"
117,0.151,0,0.87,0,0,"y"
13,0,0,0,0,0,"n"
24,0,0.327,0,0,0,"n"
114,0,0.109,0,0,0,"n"
186,0,0,0,0,0.71,"y"
446,0.267,0,0.5,0,0,"y"
68,0,0.24,0,0,0,"n"
522,0,0.14,0,0,0.29,"n"
2,0,0,12.5,0,0,"y"
78,0,0,1.88,0,0,"y"
39,0,0,0,0,0,"n"
8,0,0,0,0,0,"n"
215,0.088,0,0,0,0,"y"
768,1.308,5.828,0.09,0,0.09,"y"
64,0,0,0,0,0,"n"
45,6.003,0,0,1.12,0,"y"
5395,0.09,0.002,0,0,0.01,"n"
19,0,0,0,0,0,"y"
640,0.673,0.179,0,0,0,"y"
521,0.099,0.007,0.14,0.38,0.14,"y"
27,0,0.473,0,0,0,"n"
1315,0,0.027,0,0,0.08,"n"
240,0.186,0.28,0.53,0.53,2.12,"y"
226,0,0,0,0,0,"n"
31,0.211,0,0,0,0,"n"
35,0,0,0,0,0,"n"
150,0,0.05,0,0,0,"y"
68,0,0.301,0,0,0,"n"
194,0.037,0,0,0,0,"n"
14,0,0.564,0,0,0,"n"
65,0,0.258,0,0,1.63,"y"
18,0,0,0,0,0,"n"
4,0,3.225,0,0,0,"n"
496,0,0,0,0,0,"n"
3220,0.065,0.013,0.17,0.1,0.1,"y"
4,0,0,0,0,0,"n"
290,0,0.056,0,0,0,"n"
145,0,0,0,0,0,"n"
357,0,0,0,0,0,"n"
158,0,0.057,0.16,0,0,"n"
61,0,0,0,0,0,"n"
193,0,0.056,0,0,0,"n"
736,0.467,1.203,0,0,0,"y"
60,0,0,0,0,0,"n"
7,0,0,0,0,0,"n"
54,0,0.218,0,0,0,"y"
190,0.135,0.067,0,0.78,0.58,"y"
70,0,0,0,0,0,"n"
8,0,0,0,0,0,"n"
1001,0.023,0.865,0,0,0,"y"
85,0,0.969,0,1.02,0,"y"
138,0,0,0,0,0,"n"
53,0,0,0,0,2,"n"
25,0,0.186,0,0,0,"n"
11,0,0,0,0,0,"n"
19,0,0,0,0,0,"n"
278,0,0.778,0,0,0,"y"
417,0.057,0.085,0,0.35,0,"y"
9,0,0,0,0,0,"n"
28,0,0.448,0,0,0,"n"
36,0,0,0,0,0,"n"
43,0,0.168,0,0,0,"n"
881,0.028,0,0,0,0.07,"n"
41,0,0,0,0,0,"n"
1080,0.014,0,0,0,0.05,"n"
27,0,0.234,0,0,0,"n"
601,0,0,0,0,0,"n"
107,0,0,0,0,0,"n"
3,0,0,0,0,0,"n"
10,0,0,0,0,0,"n"
155,0,0.029,0,0,0,"n"
68,0,0,0,0,0.84,"n"
7,0,0,0,0,0,"n"
16,0,0,0,0,0,"n"
31,0,0.243,0,0,0,"n"
113,0,0,0,0,0,"n"
521,0.161,0.01,0.05,0.74,0.17,"y"
249,0.121,0.729,0.72,0,0,"y"
116,0,0,0,0,0,"n"
524,0.045,1.147,0,0.28,0.28,"y"
122,1.023,1.023,0,0,0,"y"
264,0.061,0.367,0,0.36,0,"y"
21,0,0,0,0,0,"n"
6,0,0,0,0,0,"n"
898,0.215,1.003,0.29,0.73,0.14,"y"
11,0,0,0,0,0,"y"
1,0,0,0,0,0,"n"
43,0,0.149,0,0,0,"n"
566,0.015,0.03,0.09,0.36,0.18,"y"
9,0,0,0,0,0,"n"
124,0,0,0,0,0,"n"
290,0,0,0,0,0,"n"
60,0.632,0.21,0,0,0,"y"
196,0.143,0.191,0.6,0,0,"y"
46,0,0,0,0,0,"n"
22,0,0,0,0,0,"n"
55,0,0.457,0,0,0,"y"
237,0.061,0.122,0,0.5,0,"n"
17,0,0,0,0,0,"y"
203,0.033,0.033,0,0,0.44,"n"
14,0,0,0,0,0,"n"
3043,0.79,0.331,0.34,1.1,0.47,"y"
3029,0.784,0.344,0.34,1.11,0.47,"y"
197,0,0,0,0.49,0,"y"
1096,0.022,0.022,0.26,0.13,0,"y"
54,0.138,0.138,0,0,0,"y"
107,0.175,0.351,0,0,0,"y"
143,0.06,0.241,0,0,0,"y"
87,0,0.093,0,0,0,"n"
108,0,0,0,0,0.14,"n"
991,0,0.583,0,0,0,"y"
485,0.103,0.866,1.04,0.2,0.41,"n"
272,0,0,0,0,0,"n"
15,0,0,0,0,0,"n"
15,0,0.595,0,0,0,"n"
112,0,0,0,0,0,"n"
15,0,0,0,0,0,"n"
1000,0.196,1.246,0,0.37,0.37,"y"
34,0,0.594,0,0,0,"n"
19,0,0,0,0,0.9,"n"
274,0,0.102,0.63,0,0,"y"
666,0.151,1.289,0,0,0.23,"y"
2,0,4.347,0,0,0,"y"
11,0,0,0,0,0,"n"
31,0,1.111,0,0,0,"y"
9,0,0,0,0,0,"n"
929,0.25,0.444,0.26,0.08,0,"y"
125,0.347,1.62,0,0.8,0.8,"y"
748,0.249,1.663,0,0,0.46,"y"
430,0.133,1.103,0.45,0,0,"y"
5902,0.022,0.022,0,0,0,"n"
277,0,0.034,0,0,0,"y"
9,0,0,0,0,0,"n"
20,0,0,0,0,0,"n"
31,0,0,0,0,0,"n"
75,0,0,0,0,0,"n"
1107,0.186,0.13,0.34,0.17,0.34,"y"
38,0,0.396,0,0,0,"n"
50,0,0,0,0,0,"n"
458,0.163,0.02,0.05,0.75,0.17,"y"
130,0,0,0,0,0,"n"
29,0,0,0,0,0,"n"
26,0,0,0,0,0,"y"
534,0,0,0,0,0,"n"
139,0,0,0,0,0,"n"
359,0,0,0,0,0,"y"
2954,0.005,0.008,0,0.01,0.07,"n"
25,0,0,0,0,0,"n"
66,0,0,0,0,0,"n"
78,0,0,0,0,0,"n"
33,0,0,0,0,0,"n"
195,0.347,1.13,0,0,0,"y"
622,0.191,1.147,0,0,0,"y"
380,0.027,0,0,0,0,"n"
144,0,0,0,0,0.36,"n"
16,0,0,0,0,0,"n"
4,0,0,0,0,0,"n"
80,0,0.463,0,0,0,"n"
20,0,0,0,0,0,"n"
81,0,0,0,0,0,"n"
73,0.322,0.107,0.62,0,0.62,"y"
120,0,0.044,0,0,0.6,"n"
64,0,0.511,0,0,1.61,"y"
16,0,0,0,0,0,"n"
559,0,0,0,0.11,0,"n"
680,0,0,0,0,0,"n"
291,0,1.065,0,0,0,"y"
134,0,1.235,0,0,0,"y"
5,0,0,0,0,0,"n"
42,0,0,0,0,0,"n"
67,0,0.061,0,0,0.43,"y"
261,0,0.125,0,1.36,0,"y"
1044,0.39,0.991,0.3,0,0.1,"y"
249,0.433,0.433,0,0.76,0,"y"
40,0,1.949,0,0,0,"y"
396,0,1.385,0.28,0,0,"y"
91,0,0.283,0,0,0.83,"n"
575,0,0,0,0.2,0,"n"
504,0,0.016,0,0,0,"y"
217,0,0.511,0,0,0,"y"
2026,0,0,0,0,0.08,"n"
319,0,0,0,0,0.51,"n"
91,0.251,0.251,0,0,0,"y"
3327,0.15,0.273,0.57,1.14,0.54,"y"
198,0,0,0,0,0,"n"
153,0,0.354,0,0,0.25,"y"
108,0,0,0,0,0,"y"
3,0,0,0,0,0,"n"
7,0,0,9.75,0,0,"n"
159,0,0,0,0,0,"n"
454,0.162,0.01,0.05,0.75,0.17,"y"
205,0.08,0.728,0,0,0,"y"
756,1.309,5.831,0.09,0,0.09,"y"
51,0,0,0,0,0,"n"
614,0,0.071,0,0,0,"n"
26,0,0.62,0,0,0,"n"
53,0,0,0,0,0,"n"
275,0,0.16,0.67,0,0,"y"
895,0.216,0.278,0,1.06,0,"y"
140,0,0,0,0,0,"n"
15,0,0,0,0,0,"n"
11,0,0,0,0,0,"n"
192,0.066,0.133,0.4,0,0,"y"
115,0,0,0,0,0,"n"
51,0,0,0,0,0,"n"
24,0,3.448,0,0,0,"y"
46,0,0,0,0,0,"n"
801,0.067,0.698,0.3,0,0.15,"y"
277,0.142,0.427,0,0,0,"y"
52,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
982,0.024,0.271,0,0,0,"y"
3525,0.145,0.538,0.34,0.39,0.13,"y"
76,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
39,0,0.814,0,1.12,0,"y"
264,0.184,0.036,0.24,0.48,0,"y"
375,0,0,0,0,0,"n"
123,0,0,0,0,0,"n"
140,0,0,0,0,0,"n"
244,0.055,0.055,0,0,0,"n"
344,0.093,1.023,0,0,0.27,"y"
12,0,0,0,0,0,"n"
29,0,0.68,0,0,0,"n"
2413,1.281,0.335,0.5,0.5,0.5,"y"
11,0,0,0,0,0,"n"
168,0,0,0,0,0,"n"
57,0,0,0,0,0,"n"
259,0,0,0,0,0,"n"
190,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
119,0,0,0,0,0,"n"
108,0,0,0,0,0,"n"
86,0,0,0,0,0,"y"
2424,0.496,0.381,0.46,0.5,0.39,"y"
13,0,0,0,0,0,"y"
543,0.037,1.046,0,0,0,"y"
2333,0.523,0.454,0.54,0.51,0.51,"y"
228,0.035,0.315,0,0,0.49,"y"
240,0.116,0.116,0,0.64,0.32,"y"
375,0,0,0,0,0,"n"
132,0,2.362,0,0,0.67,"y"
26,0,0,0,0,0,"n"
186,0.025,0.615,0.3,0,0.15,"y"
64,0,0,0,0,0,"n"
791,0.021,0,0,0,0.07,"n"
38,0,0,0,0,0,"n"
807,0.022,0,0,0,0.08,"n"
51,0,0,0,0,0,"n"
1827,0,0.128,0,0,0.03,"n"
293,0.289,0.072,0,0,0,"y"
175,0,0,0,0,0,"n"
108,0.472,0.472,0.42,0,1.26,"y"
54,0.21,0,1.31,0,0,"y"
57,0,0.08,0,0,0,"y"
1,0,0.684,0,0,0,"n"
9,0,0,0,0,0,"n"
204,0,0,0,0,0,"n"
12,0,1.149,0,0,0,"n"
179,0,0.835,0.43,0,0.43,"y"
237,0,0,0,0,0,"n"
13,0,0,0,0,0,"n"
72,0,0.271,0,0,0,"n"
364,0.076,0.076,0,0.33,0,"n"
535,0.032,0.257,0.09,0.36,0.09,"y"
79,0.058,0,0,0,0,"n"
249,0,0.129,0,0,0.39,"n"
37,0,0.125,0,0,0.88,"n"
60,0,0,0,0,0,"n"
685,0.053,0.035,0,0,0,"n"
1995,0,0.033,0,0,0.08,"n"
9,0,0,0,0,0,"n"
533,0.128,0.472,0,0.27,0,"y"
12,0,0,0,0,0,"n"
110,0,0,0,0,0,"n"
10,0,0,0,0,0,"n"
81,0,0,0,0,0,"n"
138,0,0,0,0,0.32,"n"
440,0,0.072,0,0,0,"y"
64,0,0,0,0,0,"n"
2501,0.515,0.345,0.52,0.32,0.42,"y"
11,0,0,0,0,0,"n"
54,0,0.455,0,0,0,"y"
63,0,0,0,0,0,"n"
31,0,0.457,0,0,0,"n"
408,0,0,0,0,0.3,"n"
7,0,0,0,0,0,"n"
673,0.024,0,0,0,0.08,"n"
798,0.224,0.775,1.11,0.11,0.22,"y"
7,0,0,0,0,0,"n"
49,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
149,0,0,0,0,0,"n"
9088,0,0.03,0.04,0,0,"y"
40,0,0,0,0,0,"n"
392,0.402,0.402,0.23,0.71,0.47,"y"
66,0,1.529,0,0,0,"y"
15,0,0,0,0,0,"n"
57,0,0,0,0,0.64,"n"
1387,0.01,0,0,0,0.07,"n"
576,0.043,0,0.07,0.15,0,"n"
279,0.173,0.13,0,0.31,0,"y"
25,0,0,0,0,0,"n"
80,0,0.285,0,0,0,"n"
555,0,0.158,0,0,0,"y"
79,0.207,0.207,0,0,0,"y"
19,0,1.284,0,0,0,"y"
21,0,0,1.47,0,0,"y"
64,0,0.355,0,0,0,"n"
843,0.026,0.044,0.42,0.06,0.18,"n"
92,0,0,0,0,0,"y"
28,0,0,0,0,0,"n"
281,1.212,0.071,0,0.51,0,"y"
56,0,0,0,0,0,"n"
239,0.107,0.295,0.18,0,0,"y"
9,0,0,0,0,0,"n"
3,0,0,0,0,0,"n"
2,0,0,0,0,0,"n"
21,0,0,0,0,0,"n"
2,0,0,0,0,0,"n"
148,0,0,0,0,0,"n"
264,0.023,0,0.07,0,0.07,"y"
31,0,0,0,0,1.16,"n"
46,0,0.091,0,0,0,"n"
109,0,0,0,0,0.43,"n"
280,0.141,0.425,0,0,0,"y"
72,0,0,0,0,0,"n"
201,0,0,0,0,0,"n"
96,0.238,0.238,0.68,0.68,0,"y"
13,0,1.647,0,0,0,"y"
5,0,0,0,0,0,"n"
77,0,0,0,0,0,"n"
50,0,0,0,0,0,"n"
3,0,0,0,0,0,"n"
361,0,1.434,0.29,0,0,"y"
1263,0.051,0.044,0,0.08,0,"n"
178,0,0,0,0,0,"n"
1592,0.236,0.388,1.14,1.82,0.68,"y"
1123,0.056,0.709,0.43,0.08,0.43,"y"
177,0,0.32,0,0,0.37,"n"
83,0,0.08,0,0,0,"y"
229,0,0.935,0,0,0,"y"
54,0,0,0,0,0,"n"
7,0,0,0,0,0,"n"
144,0.163,0,0.31,0,0,"y"
94,0,0.125,0,0,0,"y"
82,0.196,0.392,0,0,0,"y"
33,0,0.2,0,0,0.67,"y"
10,0,0,0,0,0,"n"
187,0,0,0,0,0,"n"
165,0.297,0.669,0,0.44,0,"y"
1351,0.157,0.488,0.1,0.6,0.1,"y"
2541,0.133,0.334,0.99,1.39,0.59,"y"
62,0,0,0,0,0,"n"
213,0,0,0,0,0.35,"n"
15,0,0,1.69,0,0,"n"
210,0.097,0,0,0.6,0,"y"
147,0,0.068,0,0,0,"n"
24,0.763,0,0,0,0,"n"
60,0,0,0,0,0,"n"
353,0.794,0.855,0.4,4.01,0.4,"y"
1295,0.103,0.309,0.21,0.35,0.07,"y"
827,0.019,0,0,0,0.06,"n"
160,0.121,0.609,0.38,1.16,0,"y"
67,0,0,0,0,0,"n"
1478,0.135,0.432,0.18,0.55,0,"y"
254,0.041,0.041,0,0,0.12,"y"
1787,0,0,0,0,0.04,"n"
118,0,0,0,0,0.3,"n"
106,0,0.039,0,0,0,"n"
76,0,0.154,0,0,0,"n"
17,0,0,0,0,0,"n"
80,0,0.986,0,0,0,"y"
180,0,0.096,0,0,0.31,"n"
5,0,0,0,0,0,"n"
30,0,0,0,0,0,"n"
10,0,0,0,0,0,"n"
194,0,0,0,0,0,"n"
70,0,0.455,0,0,0,"y"
3214,0.065,0.006,0.17,0.1,0.1,"y"
76,0,0,0,0,0,"n"
411,0,0.026,0,0,0,"n"
356,0,0.979,0,0,0,"y"
6,0,0,0,0,0,"n"
75,0,3.427,0,0,0,"y"
2051,0,0.037,0,0,0,"n"
141,0,0,0,0,0,"n"
40,0,0,0,0,0,"n"
115,0,0,0,0,0,"n"
37,0,0,0,0,0,"n"
83,0,0,0,0,0,"n"
138,0,0.875,0,0,0,"y"
131,0.478,0.095,0,1.59,0,"y"
60,0.094,0.284,0,0,0,"n"
15,0,1.234,0,0,0,"n"
92,0,0.416,0,0,0,"y"
125,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
25,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
50,0,0.139,0,0,0,"n"
385,0.134,0.574,0.22,0.11,0.45,"y"
141,0.1,0,0,1.96,0,"y"
16,0,0,0,0,0,"n"
10,0,3.076,9.09,0,4.54,"y"
