"crl.tot","dollar","bang","money","n000","make","yesno"
422,0,0.022,0,0,0,"n"
11,0,0.248,0,0,0,"n"
77,0.431,0.215,0,2.53,0,"y"
5,0,0,0,0,0,"n"
377,0,0,0,0,0,"n"
164,0,0,0,0,0,"n"
88,0,0,0,0,0,"n"
654,0,0.02,0,0,0,"n"
37,0.63,0,0,0,0,"n"
53,0.212,0,1.31,0,0,"y"
82,0.424,0.424,0,1.12,0,"y"
87,0,0,0,0,0.49,"n"
321,0.049,0.247,0,0,0,"n"
24,0,0,0,0,0,"n"
19,0,0,0,0,0,"y"
5,0,0,0,0,0,"n"
36,0,0,0,0,0,"n"
1345,0.017,0,0,0,0.06,"n"
49,0,0.313,0,0,0,"n"
1426,0.16,0.336,0.2,0.4,0.1,"y"
418,0.017,0,0,0.25,0,"n"
99,0,0,0,0,0,"y"
28,0,0,0,0,0,"n"
242,0,0.072,0,0,0.29,"n"
23,0,0.33,0,0,0,"n"
13,0,0,0,0,0,"n"
1229,0.072,0.241,0,0.14,0,"y"
177,0.888,0.414,0,1.47,0,"y"
736,0.467,1.203,0,0,0,"y"
68,0,0.426,0,0,0,"y"
368,0.128,0.153,0.44,0,0.14,"y"
622,0,0.069,0,0,0,"n"
24,0,0.139,0,0,0,"n"
27,0,0,0,0,0,"n"
137,0,0,0,0,0,"n"
262,0,0.23,1.05,0,0.7,"y"
5,0,32.478,0,0,0,"n"
386,0,0.496,0,0,0,"y"
6,0,0,0,0,0,"n"
246,0,0.074,0,0,0,"n"
98,0,0,0,0,0,"n"
412,0,0.048,0,0,0,"n"
283,0,0,0,0,0,"n"
105,0,0.574,0,0,0,"y"
79,0.383,0.191,0,1.08,0,"y"
1613,0.139,0.334,0.76,0.29,0.4,"y"
189,0.259,1.208,0,1.59,0.53,"y"
7,0,0,0,0,0,"n"
78,0.182,0,0,0,0,"y"
26,0,0.149,0,0,0,"n"
2213,0.519,0.445,0.61,0.37,0.5,"y"
164,0.069,0.83,1.32,0,0,"y"
34,0,1.798,0,0,0,"n"
650,0.127,1.3,0.47,0.15,0.31,"y"
99,0.102,0.306,0,0,0,"n"
378,0,0,0,0,0,"n"
47,0,0,0,0,0,"n"
381,0.066,0.016,0,0.74,0,"y"
63,0,0,0,0,0,"n"
106,0.078,0,0,0,0.54,"n"
766,0.073,0.25,0,0.19,0.06,"y"
122,0.463,0.834,0,0.65,0.65,"y"
1070,0.241,0.439,0.76,0.44,0.76,"y"
31,0,0,0,0,0,"n"
274,0,0.14,0.58,0,0,"y"
434,0.061,0.185,0,0,0,"y"
112,0.105,0,0,0,0,"y"
329,0.598,2.395,1.07,1.07,0,"y"
78,0,0.339,0,0,0,"n"
278,0.242,0.282,0,0,0,"n"
228,0.519,1.143,0,0,0,"y"
753,0.162,0.339,1.5,0.17,0.26,"y"
5,0,0,0,0,0,"n"
72,0.233,0.467,0,0,0.74,"y"
350,0,0.897,0,0,0,"y"
421,0.046,0.89,0.31,0,0.31,"y"
513,0.129,1.453,0.6,0.2,0.4,"y"
23,0,0.193,0,0,0,"n"
1991,0.493,0.507,0.53,0.45,0.32,"y"
203,0,0.484,0,0,0,"y"
2,0,5,0,0,0,"y"
6,0,0,0,0,0,"n"
28,0.125,0,0,0,0,"n"
19,0,0,0,0,0,"n"
100,0,0,0,0,0,"n"
1758,0.007,0,0,0,0.02,"n"
129,0,0,0,0,0,"n"
93,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
43,0,2.112,0,0,0,"y"
898,0.215,1.004,0.29,0.73,0.14,"y"
137,0.358,0.43,0,2.2,0.44,"y"
249,0.412,0.412,0,0.76,0,"y"
574,0.014,0.099,0.08,0.34,0.17,"y"
57,0,0,0,0,0,"n"
15841,0,0,0,0,0.19,"y"
9,0,0,0,0,0,"n"
47,0,0.44,0,0,0,"n"
29,0,0.211,0,0,0,"n"
22,0,0,0,0,0,"n"
55,0.208,0,1.29,0,0,"y"
77,0.124,0,0,0,0.43,"n"
363,0.075,1.285,0,0,0,"y"
556,0,0.198,0,0,0,"y"
1516,0.199,0.548,0.72,0.62,0.31,"y"
389,0.094,0.322,0,0.11,0,"y"
125,0.111,0.055,0.62,0,0.31,"y"
621,0.056,1.151,0.33,0,0.16,"y"
60,0,0,0,0,0,"n"
52,0,1.011,0,0,0,"y"
185,0.211,0,0.3,0,0,"y"
715,0.024,0,0,0,0.17,"n"
116,0.74,0.211,0,2.85,0.57,"y"
6,0,0,0,0,0,"n"
143,0,0.706,0,0,0,"y"
3,0,0.862,0,0,0,"n"
59,0,0,0,0,0,"n"
966,0.254,0.353,0.35,0.08,0,"y"
2015,0,0.126,0,0,0.02,"n"
330,0,0.271,0,0,0,"n"
31,0,0,0,0,0,"n"
79,0,0.196,0.77,0,0,"n"
21,0,0,1.6,0,0,"n"
267,0.505,1.199,0,0,0,"y"
312,0,0.477,0,0,0,"y"
617,0.193,0.129,0.22,0.22,0,"y"
46,0,0,0,0,0,"n"
385,0,0.479,0,0,0,"y"
49,0,0.102,0,0,0.63,"n"
30,0,0,0,0,0.78,"n"
139,0.158,0,0.32,0,0,"y"
119,0,0,0,0,0,"n"
30,0,0,0,0,0,"n"
17,0,0,0,0,0,"n"
17,0,0.773,0,0,0,"n"
81,0,0.353,0,0,0,"y"
45,0,0.281,0,0,0,"n"
147,0,0.436,0,0,0,"n"
9,0,0,0,0,0,"n"
6,0,0,0,0,0,"n"
666,0.132,0.265,0.45,0.45,0.11,"y"
18,0,0,0,0,0,"y"
6,0,0,0,0,0,"n"
26,0,0,0,0,0,"n"
20,0,0,0,0,0,"n"
45,0,0,0,0,0,"n"
164,0,0.301,0,0,0,"n"
70,0,0,0,0,0,"n"
944,0.024,0.567,0,0,0,"y"
186,0,0,0,0,0,"y"
112,0,0,0,0,0,"n"
278,0,0.777,0,0,0,"y"
61,0.634,0.422,0,0,0,"y"
7,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
43,0,0,0,0,0,"n"
155,0,0,0,0,0,"n"
363,0.027,0,0,0.18,0,"y"
194,0,0.031,0.17,0,0.17,"n"
47,0,0.285,0,0,0,"n"
189,0,0,0,0,0,"n"
363,0.214,0,0,0,0,"n"
137,0.161,0,0,0,0,"n"
69,0,0.1,0,0,0,"n"
167,0,0,0,0,0,"n"
17,0,0,0,0,0,"n"
122,0,0.115,0,0,0,"n"
45,0,0.203,0,0,0,"y"
188,0.105,0.263,0,0,0,"y"
646,0,0.038,0,0,0.17,"n"
1407,0.114,0.394,0.08,0.85,0.08,"y"
13,0,0,0,0,0,"n"
12,0,0,0,0,0,"n"
186,0,0,0,0,0,"n"
7,0,0,0,0,0,"n"
40,0,0,0,0,0,"n"
740,0.979,5.213,0.19,0,0.09,"y"
2688,0.009,0,0,0,0.03,"n"
61,0,0.633,0,0,0.55,"n"
302,0.123,0,0,0,0,"y"
19,0,0,0,0,0,"n"
113,0,0,0,0,0.41,"n"
390,0,0,0,0,0,"n"
85,0,0,1.42,0,0,"y"
1415,0.145,0.393,0.09,0.59,0.09,"y"
22,0,0,0,0,0,"n"
566,0.014,0.029,0.09,0.36,0.18,"y"
51,0,0.093,0,0,0,"n"
124,0,0,0,0,0,"n"
26,0,0,0,0,0,"n"
31,0,0,0,0,0,"n"
4128,0.523,0.325,0.46,0.94,0.5,"y"
52,0,0.297,0,0,0,"y"
597,0.059,0,0,0.1,0,"n"
386,0,0,0,0,0,"n"
339,0.031,0,0,0,0,"n"
1458,0.155,0.31,0.19,0.39,0.09,"y"
40,0,0.091,0,0,0,"n"
395,0.045,0.022,0,0,0,"n"
23,0,0,0,0,0,"n"
128,0,0,0,0,0.26,"n"
25,0,0,0,0,1.14,"n"
285,0,0.448,0,0,0,"n"
152,0.145,0.944,0.44,0,0.44,"y"
30,0,0,0,0,0,"y"
10,0,0,0,0,0,"n"
115,0,0,0,0,0.26,"n"
5,0,0,0,0,0,"n"
146,0,0,0,0,0,"n"
224,0,0.126,0,0,0.68,"y"
400,0.127,0.204,0.44,0,0.14,"y"
12,0,0,0,0,0,"n"
318,0.107,1.178,0,0,0.32,"y"
53,0,0.218,0,2.24,0,"y"
1589,0.388,0.406,0.31,0.52,0.15,"y"
54,0,0,0,0,0,"n"
38,0,0,0,0.97,0.97,"n"
13,0,0,0,0,0,"n"
15,0,0,0,0,0,"n"
7,0,0,0,0,0,"n"
375,0,0.502,0,0,0,"y"
30,0,1.048,0,0,0,"y"
145,0,0,0,0.34,0.17,"y"
1506,0,0,0,0,0,"n"
133,0,0,0,0,0,"n"
7,0,0,0,0,0,"n"
192,0,0.052,0,0,0,"n"
659,0.023,0,0,0.22,0.07,"n"
1192,0.006,0.027,0,0.04,0.04,"n"
116,0,0,0,0,0,"n"
178,0.103,0.517,0,0,0,"y"
304,0.541,0.12,0.33,1.66,1,"y"
31,0,0,0,0,0,"n"
1163,0.266,0.319,0.29,0.58,0.36,"y"
163,0,0.134,0,0,0,"n"
632,0.31,0.749,1.38,0,1.18,"y"
189,0,0.26,0,0,0,"y"
13,0,0,0,0,0,"n"
157,0,0.216,0,0,0,"n"
162,0,0,0,0,0,"n"
103,0,0.135,0,0,0,"n"
237,0.112,0.31,0.18,0,0,"y"
43,0,0,0,0,0,"n"
65,0,0,0,0,0,"n"
50,0,0.113,0,0,0,"y"
328,0,0.215,0.34,0,0,"y"
53,0,0,0,0,0,"n"
956,0.027,0.167,0,0,0,"y"
12,0,1.075,0,0,0,"n"
59,0,0,0,0,0,"n"
65,0.062,0.31,0,0,0,"y"
1277,0.109,0.369,0.17,0.08,0.08,"y"
208,0.196,0.056,0,0,0,"y"
12,0,0,0,0,0,"n"
1339,0.224,0.25,0.16,0.91,0.16,"y"
712,0.255,0.751,1.14,0.49,0.98,"y"
68,0,0.116,0,0,0,"n"
11,0,0,0,0,0,"y"
68,0,0.118,0,0,0,"y"
113,0,0,0,0,0.29,"y"
339,0.064,0.016,0,0.73,0.1,"y"
55,0,0,0,0,0,"n"
16,0,0,0,0,0,"y"
178,0,0.347,0,0,0,"n"
110,0.087,0,0,0,0,"n"
18,0,0.774,0,0,0,"y"
1351,0.158,0.49,0.1,0.6,0.1,"y"
35,0,0,0,0,0,"y"
52,0,0.087,0,0,0,"n"
109,0,0,0,0,0,"n"
18,0,0,0,0,0,"n"
632,0.316,0.765,1.38,0,1.18,"y"
963,0.083,0.665,0,0,0,"y"
114,0.549,0.48,0.41,0,1.24,"y"
583,0.118,0.054,0.2,0.15,0.05,"y"
353,0,0.026,0,0,0.53,"n"
22,0,0.17,0,0,1,"n"
89,0,0.11,0,0,0,"y"
80,0.903,0,0,0,0,"n"
97,0,0,0,0,0,"n"
477,0.189,0.586,0,0.39,0.19,"y"
50,0,0,0,0,0,"n"
119,0,0,0,0,0,"n"
261,0.121,0.121,0.4,0.6,0,"y"
97,0,0,0,0,0,"n"
12,0,0,0,0,0,"n"
294,0,0.288,0,0,0,"n"
97,0,0.124,0.39,0,0,"y"
418,0.044,0,0,0,0,"y"
4,0,0,0,0,0,"n"
73,0.389,0,0,1.08,0,"y"
48,0,0,0,0,0,"n"
22,0,0.263,0,0,0,"n"
55,0.147,0.049,0,0,0,"n"
599,0.057,1.158,0.35,0,0.17,"y"
1351,0.157,0.488,0.1,0.6,0.1,"y"
137,0,0.099,0,0,0,"n"
1484,1.269,0.031,0,0,0,"y"
1356,0.016,0.028,0,0,0.07,"n"
475,0.061,0.371,0.12,0,0,"y"
12,0,0,0,0,0,"n"
13,0,0,0,0,0,"y"
26,0,0.48,0,0,0,"n"
1144,0.147,0.294,0,0,0,"y"
101,0,0,0,0,0,"n"
1410,0.114,0.394,0.08,0.85,0.08,"y"
303,0.14,0.032,0.23,0.23,0,"y"
266,0,0.073,0,0,0,"n"
9,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
771,0,0.591,0,0,0.09,"y"
203,0,0,0,0,0,"n"
364,0.016,0.033,0,0,0.12,"n"
42,0,0,0,0,0,"n"
383,0.071,0.142,0,0.18,0,"n"
140,0,0,0,0,0,"n"
50,0.087,0.174,0,0.48,1.44,"y"
12,0,0,0,0,0,"n"
352,0.364,0.273,0.55,0.55,0,"y"
30,0,0,0,0,0,"y"
78,0,0,0,0,0.96,"n"
3,0,0,0,0,0,"n"
108,0,0,0,0,0,"n"
106,0,0.367,0,0,0,"n"
7,0,0,0,0,0,"n"
58,0,0,0,0,0,"n"
180,0.253,1.183,0,1.61,0.53,"y"
50,0,0.238,0,0,0,"n"
214,0,0.937,0,0,0,"y"
124,0.361,1.566,0,0.8,0.8,"y"
530,0.031,0.237,0.09,0.36,0.09,"y"
41,0,0.475,0,0,0,"n"
11,0,0.666,0,0,0,"n"
87,0,0.486,0,0,0,"n"
14,0,0,0,0,0,"n"
6,0,0,0,0,0,"n"
232,0.112,0,0,0,0,"n"
386,0.042,1.289,0.84,0.28,0.56,"y"
17,0,0,0,0,0,"n"
57,0,0,0,0,0,"n"
54,0,0,0,0,0,"n"
228,0.83,0.276,0,1.3,0,"y"
68,0,0.077,0.45,0,0,"n"
88,0,0.116,0,0,0,"n"
4,0,0,0,0,0,"n"
128,0,0,0,0,0,"n"
537,0.259,0.259,0.34,0.34,0.34,"y"
32,0,0,0,0,0,"y"
1329,0.013,0,0,0,0.05,"n"
2458,0.041,0.015,0,0,0,"n"
1617,0.008,0,0,0,0.05,"n"
314,0,0.178,0,0,0,"n"
49,0,0.192,0,0,0,"y"
101,0,0,0,0,0,"n"
58,0,0.153,0,0,0,"n"
72,0.38,0.19,0,1.07,0,"y"
65,0.062,0.312,0,0,0,"y"
94,0,0,0,0,0,"n"
897,0.055,0.064,0.06,0.25,0.06,"n"
1407,0.117,0.403,0.08,0.85,0.08,"y"
129,0,0.091,0.65,0,0,"y"
542,0.022,0.057,0,0,0.08,"n"
14,0,0,0,0,0,"n"
1456,0.103,0.348,0.17,0.08,0.08,"y"
183,0,0.164,0,0,0.13,"n"
632,0.308,0.745,1.38,0,1.18,"y"
112,0,0,0,0,0.52,"n"
53,0,0.334,0,0,0,"y"
25,0,0.349,0,0,0,"n"
244,0,0,0,0,0.17,"n"
38,0.21,0.421,3.61,0,0,"y"
40,0,0,0,0,0,"n"
210,0,0,0,0,0,"n"
137,0.2,1.706,0,1.36,1.36,"y"
7,0,0,0,0,0,"n"
47,0,0.058,0,0,0.32,"n"
274,0,0,0,0,0,"n"
40,0,0.473,0.46,0,0,"n"
88,0,0,0,0,0,"y"
58,0,0.081,0,0,0,"n"
571,0.057,0,0,0.21,0.1,"n"
505,0.8,0.64,0,2.04,0,"y"
10,0,0,0,0,0,"n"
41,0.176,0.176,0,2.1,0,"y"
87,0,0,0,0,0,"n"
3,0,0,0,0,0,"n"
14,0,0.546,0,0,0,"n"
389,0.094,0.056,0,0,0,"y"
53,0,0,0,0,2,"n"
35,0,0,0,0,0,"n"
129,0,0,0,0,0,"n"
160,0.17,0.17,0,0,0,"y"
464,0,0,0,0,0,"n"
142,0,0.666,0,0.48,0,"n"
109,0.403,0.672,0,0,0,"y"
17,0,0,0,0,0,"n"
8,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
3,0,0,0,0,0,"n"
981,0.261,0.358,0.34,0.08,0,"y"
217,0,0.511,0,0,0,"y"
9,0,0,0,0,0,"n"
11,0,0,0,0,0,"n"
1386,0.014,0,0,0,0.05,"n"
45,0,0,0,0,0,"n"
107,0,0.268,0,0,0,"y"
41,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
966,0.305,0.75,0.69,0.06,0.48,"y"
333,0,0,0,0,0,"n"
1351,0.158,0.49,0.1,0.6,0.1,"y"
89,0,0,0,0,0,"n"
45,0,0,0,0,0,"n"
63,0,0.168,0,0,0,"n"
54,0,0,0,0,0.36,"n"
18,0.651,0,0,0,0,"n"
15,0,7.333,0,0,0,"y"
212,0.321,1.045,0,0,0,"y"
338,0.059,0.119,0,0.48,0,"n"
236,0,0,0,0,0,"n"
181,0,0,0,0,0,"n"
617,0.131,0.149,0.8,0.05,0.35,"y"
89,0,0.075,0,0,0,"n"
98,0.381,0.305,0,0.96,0,"n"
243,0.01,0,0,0,0.29,"n"
44,0,0,0,0,0,"n"
1789,0,0.055,0,0,0.27,"n"
63,0,0.094,0,0,0,"n"
795,0.167,0.167,0.07,0,0.07,"y"
123,0,0.159,0,0,0,"y"
1287,0.175,0.334,0.2,1.14,0.1,"y"
1428,0.156,0.297,0.2,0.4,0.1,"y"
608,0,0.123,0,0,0.15,"y"
129,0.318,0.715,0,0.54,0.54,"y"
114,0,0,0,0,0.38,"n"
56,0,0.309,0,0,0,"y"
208,0,0.087,0.3,0,0.15,"y"
78,0,0.294,0,0,0,"n"
32,0,0.111,0,0,0,"y"
151,0,0,0,0,0,"n"
139,0,0.74,0,0,0,"y"
13,0,0,0,0,0,"n"
168,0.049,0,0,0.29,0,"y"
116,0,0.062,0,0,0.36,"n"
162,0,0,0,0,0,"y"
9,0,0,0,0,0,"n"
353,0,0.801,0,0,0,"y"
5,0,0,0,0,0,"n"
209,0,0,0,0,0,"n"
352,0,0.606,0,0,0,"y"
30,0,0,0,0,0,"n"
111,0.077,0.544,0,0,0.49,"y"
82,0.408,0.408,0,1.12,0,"y"
328,0,0.14,0,0,0,"y"
12,0,0,0,0,0,"n"
8,0,0,0,0,0,"n"
36,0,1.169,0,0,0,"y"
